Fruit,Target,Regressor,Measurement Type,Integration Time,LED Current,Score
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.38652894892736583
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.2927517126089123
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.19217654290031613
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.32773547639605416
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3649776981969274
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.23964826665158823
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3087115951753461
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.33341631056473775
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.38570295322545267
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.299332931578064
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06126797867247175
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.07590689306502338
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06998372173453123
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.0677992962967092
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.07558973049828087
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.08444093989123552
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.061156723377408476
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06871470513813857
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.05755465934336732
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06283002886261393
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3083210492558944
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.2890430311033888
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3107478654012993
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.38435006174803693
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.33269994496324573
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.27805554993159715
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.31352377176318297
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.32196259817361284
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.31254034226770516
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.28592237021307243
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.06928580539720294
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.07961107104418741
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.08499544113688731
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.06449480570084636
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.0587509342093538
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.07187102700708325
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.06976494631151209
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.06609636563248121
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.0643474211868504
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.08605388335548661
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.4001000702328662
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.31884142825727296
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3414458084015273
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3787574561391571
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3608564232183415
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.32315193194967645
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.21403029399949808
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.28837395155862233
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.345840827938078
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.4010033554339503
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.06078739946397933
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.08429327491121759
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.06609802296643004
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.06815613648258514
