Fruit,Target,Regressor,Measurement Type,Integration Time,LED Current,Score
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.36223472904981097
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3366521700593581
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3430089930911336
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.32288785924087776
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.34384475645347223
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3181222028418186
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3048845193321966
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.4084942827735839
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3424130828975668
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.341084775270315
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.08025985743476574
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.11500768796987315
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.09039135703537468
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.07562097953526419
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.09369514448315616
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.08399328887927857
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.10169295279565001
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06810287345304895
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.09307685659077762
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.09791053965827842
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.2685285912562223
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3475459740116709
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.4182364932589001
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3375206678743513
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3296013499847905
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.33461704515448054
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.26580045554670206
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.34034437878790624
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.31207752828141844
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.32525314497410146
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.10845690309076488
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.07193115252450062
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.07687520706787661
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.08048170329289249
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.0732499355953287
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.07470544193375991
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.10676929592087113
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.060839130590671454
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.07567068020679295
tomato,beta-carotene (FW),Huber Regression,reflectance,50,12.5 mA,-0.05904933825351995
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.39486067895402216
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3423125757022194
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.25871676162862156
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.3528002360686696
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.33337633182288146
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.4820213362678221
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.2594953931519727
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.323327981792536
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.2857720898639556
tomato,lycopene (FW),Lasso IC,reflectance,50,12.5 mA,-0.26748815719246444
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.05997073556861822
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.0722673308022374
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.0629477802963517
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.059905132472852465
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.07148780425940922
tomato,beta-carotene (FW),Lasso IC,reflectance,50,12.5 mA,-0.06071493428874495
