Leaf number,Spot,Leaf weight (mg),A1 A647,A2 A647,A3 A647,A1 A664,A2 A664,A3 A664,A647 AVG,A664 AVG,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2)
1,A,4.3,0.0822,0.0834,0.0848,0.2167,0.218,0.2192,0.0835,0.218,10.0221,2.8833,12.9054,3.001260155,2.330728682,0.670531473,45.64412063,35.44646436,10.19765627
,B,4.9,0.08,0.0802,0.0803,0.2169,0.217,0.217,0.0802,0.217,10.011,2.5987,12.6097,2.573407075,2.04306966,0.530337415,44.59819858,35.40723397,9.190964608
,C,5.1,0.0803,0.0802,0.0802,0.2169,0.2167,0.2167,0.0802,0.2168,10.0001,2.6093,12.6095,2.472444706,1.960810196,0.51163451,44.5973969,35.36864964,9.228747259
2,A,5.5,0.0817,0.0815,0.0815,0.2261,0.2262,0.2261,0.0816,0.2261,10.4578,2.5236,12.9813,2.360243636,1.901411636,0.458832,45.91264059,36.98721087,8.925429723
,B,5.2,0.0808,0.0805,0.0807,0.2255,0.2251,0.2251,0.0807,0.2252,10.423,2.46,12.883,2.477504615,2.004427692,0.473076923,45.56491476,36.8643418,8.700572965
,C,5.3,0.0827,0.0829,0.0826,0.228,0.228,0.2277,0.0827,0.2279,10.5331,2.5925,13.1257,2.476543899,1.987383648,0.489160252,46.42315437,37.2537785,9.169375869
3,A,5.4,0.0719,0.0724,0.0723,0.2045,0.2041,0.204,0.0722,0.2042,9.4608,2.1434,11.6042,2.148934815,1.752007407,0.396927407,41.04211643,33.46127184,7.580844592
,B,5.1,0.0739,0.0739,0.0737,0.2072,0.2076,0.2072,0.0738,0.2073,9.5997,2.2252,11.8249,2.318610458,1.882299346,0.436311111,41.82256962,33.95248874,7.870080875
,C,5.3,0.0734,0.0736,0.0737,0.2083,0.2083,0.2082,0.0736,0.2083,9.6501,2.1795,11.8296,2.23199522,1.820774591,0.411220629,41.83905591,34.13066893,7.708386975
4,A,5.8,0.0725,0.0727,0.0726,0.2092,0.2095,0.2094,0.0726,0.2094,9.7173,2.0649,11.7822,2.031409195,1.675393563,0.356015632,41.671406,34.36826295,7.303143053
,B,5.9,0.0712,0.071,0.0709,0.2054,0.2053,0.2051,0.071,0.2053,9.5287,2.011,11.5397,1.95588,1.615037966,0.340842034,40.81379359,33.70136521,7.112428379
,C,5.7,0.0704,0.0705,0.0707,0.2019,0.2019,0.2017,0.0705,0.2018,9.3611,2.0414,11.4025,2.000433216,1.642300819,0.358132398,40.32846196,33.10856146,7.219900498
5,A,5.5,0.0777,0.0777,0.0777,0.2159,0.216,0.2157,0.0777,0.2159,9.9849,2.3938,12.3787,2.250676606,1.815441212,0.435235394,43.78128787,35.31487114,8.466416732
,B,4.9,0.0768,0.0767,0.0767,0.2152,0.2151,0.2151,0.0767,0.2151,9.9594,2.3203,12.2797,2.506059864,2.032532789,0.473527075,43.43104383,35.22462569,8.206418146
,C,4.8,0.0785,0.0786,0.0786,0.2162,0.2161,0.216,0.0786,0.2161,9.9864,2.4692,12.4556,2.594908611,2.080491389,0.514417222,44.05305699,35.31993587,8.733121124
6,A,4.9,0.0763,0.0765,0.0766,0.2118,0.2117,0.2116,0.0765,0.2117,9.789,2.3724,12.1614,2.48191619,1.997757279,0.484158912,43.01262408,34.62195185,8.390672231
,B,4.8,0.0757,0.0758,0.0755,0.2104,0.2104,0.2102,0.0757,0.2103,9.7295,2.3286,12.058,2.512091667,2.026975,0.485116667,42.64709627,34.4114027,8.23569357
,C,5,0.0771,0.0769,0.0769,0.2139,0.2138,0.2134,0.077,0.2137,9.8842,2.3741,12.2582,2.451649867,1.976830133,0.474819733,43.3552003,34.95844474,8.396755559
7,A,5,0.0606,0.0608,0.0606,0.168,0.168,0.1681,0.0607,0.168,7.7702,1.8805,9.6507,1.9301344,1.5540384,0.376096,34.13267313,27.48175709,6.650916036
,B,5.1,0.0615,0.0617,0.0617,0.1682,0.1683,0.1684,0.0616,0.1683,7.7721,1.9644,9.7366,1.90912915,1.523943791,0.385185359,34.43643866,27.4885525,6.947886162
,C,5.6,0.0657,0.0657,0.0659,0.1778,0.1779,0.1777,0.0658,0.1778,8.203,2.1362,10.3392,1.846287381,1.46482119,0.38146619,36.56790455,29.01251562,7.555388932
8,A,4.6,0.0757,0.0759,0.0773,0.2104,0.2101,0.2107,0.0763,0.2104,9.7253,2.386,12.1113,2.632884348,2.114190435,0.518693913,42.83535404,34.39653392,8.438820117
,B,4.2,0.0773,0.0774,0.0773,0.2141,0.2137,0.2138,0.0773,0.2139,9.8882,2.4045,12.2927,2.926826667,2.354331429,0.572495238,43.47694702,34.9727382,8.504208814
,C,4.2,0.0773,0.0772,0.0772,0.2152,0.215,0.2149,0.0772,0.215,9.9484,2.369,12.3174,2.932718413,2.368660635,0.564057778,43.56446677,35.18559336,8.378873405
9,A,4,0.0693,0.0695,0.0693,0.1821,0.1821,0.1821,0.0694,0.1821,8.3774,2.3748,10.7522,2.688046333,2.094337667,0.593708667,38.02852562,29.62916696,8.399358657
,B,3.9,0.0705,0.0707,0.0706,0.1833,0.1833,0.1835,0.0706,0.1834,8.4266,2.4612,10.8879,2.791757265,2.160677607,0.631079658,38.50835868,29.80350381,8.704854873
,C,4.5,0.0706,0.0761,0.076,0.1929,0.1927,0.1927,0.0742,0.1928,8.8585,2.5887,11.4471,2.543810667,1.968544889,0.575265778,40.48648228,31.33073495,9.15574733
10,A,4.6,0.0736,0.0738,0.0737,0.1997,0.1996,0.1998,0.0737,0.1997,9.2154,2.3838,11.5991,2.521553913,2.003343478,0.518210435,41.02407866,32.59312443,8.430954234
,B,4.7,0.0724,0.0724,0.0724,0.199,0.1992,0.1991,0.0724,0.1991,9.2006,2.2763,11.4768,2.441882553,1.957572766,0.484309787,40.59152578,32.54082196,8.050703827
,C,4.8,0.0752,0.0754,0.075,0.2048,0.205,0.205,0.0752,0.2049,9.462,2.4061,11.8681,2.472528889,1.971257778,0.501271111,41.97544977,33.46550659,8.509943175
