Fruit,Unnamed: 0,Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,0,Fruit 1 spot 1,1,64,50,4891.839,5925.54,14443.954,14557.896,11974.197,3594.588,White LED,12.5 mA,b'OK Read',08:56:49,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,1,Fruit 1 spot 1,1,64,50,9478.305,11522.222,28243.808,28416.673,23216.819,6914.08,White LED,25 mA,b'OK Read',08:56:50,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,2,Fruit 1 spot 1,1,64,50,15562.271,18933.715,46750.962,46993.33,38296.66,11411.898,White LED,50 mA,b'OK Read',08:56:51,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,3,Fruit 1 spot 1,1,64,50,17676.391,21442.781,52971.899,53228.35,43309.116,12920.342,White LED,100 mA,b'OK Read',08:56:53,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,4,Fruit 1 spot 1,1,64,100,4888.902,5885.955,14344.656,14462.778,11886.88,3578.54,White LED,12.5 mA,b'OK Read',08:56:54,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,5,Fruit 1 spot 1,1,64,100,9481.241,11470.456,28098.884,28278.75,23112.984,6907.202,White LED,25 mA,b'OK Read',08:56:55,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,6,Fruit 1 spot 1,1,64,100,15659.169,18976.344,46772.432,47014.731,38289.58,11446.285,White LED,50 mA,b'OK Read',08:56:57,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,7,Fruit 1 spot 1,1,64,100,17764.48,21503.682,53065.83,53283.047,43335.073,12954.729,White LED,100 mA,b'OK Read',08:56:58,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,8,Fruit 1 spot 1,1,64,150,4885.966,5876.82,14309.767,14426.317,11859.347,3574.72,White LED,12.5 mA,b'OK Read',08:56:59,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,9,Fruit 1 spot 1,1,64,150,9480.262,11451.172,28004.059,28207.412,23067.358,6909.495,White LED,25 mA,b'OK Read',08:57:01,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,10,Fruit 1 spot 1,1,64,150,15738.449,18988.524,46804.639,47045.645,38354.873,11482.201,White LED,50 mA,b'OK Read',08:57:02,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,11,Fruit 1 spot 1,1,64,150,17864.313,21513.831,53011.263,53313.958,43439.697,13001.342,White LED,100 mA,b'OK Read',08:57:03,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
