Fruit,Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,Fruit 1 spot 1,1,64,50,7256.444,1038.493,948.049,570.418,537.593,347.798,White LED,12.5 mA,b'OK Read',08:59:20,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,14039.643,2024.271,1824.024,1084.264,897.729,543.053,White LED,25 mA,b'OK Read',08:59:21,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,23597.785,3505.573,3237.781,1942.248,1435.322,835.935,White LED,50 mA,b'OK Read',08:59:22,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,26860.318,4122.343,3803.283,2295.812,1638.876,945.766,White LED,100 mA,b'OK Read',08:59:23,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,7227.763,1051.672,959.137,577.489,532.374,341.696,White LED,12.5 mA,b'OK Read',08:59:24,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,13967.94,2047.993,1860.061,1107.836,902.948,543.053,White LED,25 mA,b'OK Read',08:59:25,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,23644.394,3600.461,3337.575,2010.604,1453.589,848.139,White LED,50 mA,b'OK Read',08:59:26,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,26992.971,4233.045,3905.85,2366.525,1654.535,954.919,White LED,100 mA,b'OK Read',08:59:27,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,7225.373,1047.279,957.289,576.703,527.154,335.594,White LED,12.5 mA,b'OK Read',08:59:29,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,13989.45,2050.628,1866.529,1114.121,889.029,534.917,White LED,25 mA,b'OK Read',08:59:30,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,23731.634,3681.291,3400.409,2056.96,1464.898,854.241,White LED,50 mA,b'OK Read',08:59:31,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,27025.238,4349.019,3991.785,2429.381,1675.412,968.139,White LED,100 mA,b'OK Read',08:59:32,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,200,7218.8,1051.672,963.295,582.203,536.288,347.798,White LED,12.5 mA,b'OK Read',08:59:33,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,200,13955.391,2069.079,1885.009,1129.05,909.472,550.68,White LED,25 mA,b'OK Read',08:59:34,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,200,23746.572,3741.474,3444.3,2090.745,1482.296,864.919,White LED,50 mA,b'OK Read',08:59:35,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,200,27068.259,4397.781,4025.05,2453.738,1694.984,974.75,White LED,100 mA,b'OK Read',08:59:36,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,250,7216.291,1052.199,965.79,582.674,536.549,350.239,White LED,12.5 mA,b'OK Read',08:59:38,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,250,13947.862,2078.041,1892.771,1136.121,913.386,552.816,White LED,25 mA,b'OK Read',08:59:40,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,250,23761.271,3767.041,3458.438,2102.53,1487.515,866.444,White LED,50 mA,b'OK Read',08:59:42,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,250,27058.221,4413.332,4027.267,2456.095,1697.333,976.275,White LED,100 mA,b'OK Read',08:59:43,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,50,7277.956,1070.122,964.681,584.56,542.812,353.899,White LED,12.5 mA,b'OK Read',08:59:48,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,50,14061.155,2076.986,1885.009,1131.407,918.606,555.256,White LED,25 mA,b'OK Read',08:59:49,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,50,23712.512,3647.905,3326.487,2012.961,1466.638,854.24,White LED,50 mA,b'OK Read',08:59:50,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,50,27003.725,4196.144,3831.005,2314.669,1659.754,964.071,White LED,100 mA,b'OK Read',08:59:52,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,7252.859,1054.308,964.681,584.56,540.203,350.849,White LED,12.5 mA,b'OK Read',08:59:53,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,14000.206,2058.536,1862.833,1114.907,913.386,555.256,White LED,25 mA,b'OK Read',08:59:54,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,23726.853,3624.183,3340.347,2015.318,1469.247,860.342,White LED,50 mA,b'OK Read',08:59:55,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,27046.748,4251.496,3900.306,2364.169,1672.802,970.173,White LED,100 mA,b'OK Read',08:59:56,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,7234.933,1049.036,962.833,581.417,539.333,351.866,White LED,12.5 mA,b'OK Read',08:59:57,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
