Fruit,Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,Fruit 1 spot 1,1,64,50,0.150700861,0.259647401,0.522438562,0.535249621,0.453531219,0.284252182,White LED,12.5 mA,b'OK Read',08:56:49,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,0.159437408,0.276737023,0.545493396,0.558961324,0.472099957,0.294431048,White LED,25 mA,b'OK Read',08:56:50,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,0.185258433,0.32269056,0.629190118,0.64412738,0.544902616,0.342414901,White LED,50 mA,b'OK Read',08:56:51,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,0.184851627,0.321548641,0.650793235,0.665903131,0.562690006,0.35486244,White LED,100 mA,b'OK Read',08:56:53,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,0.150548571,0.258783909,0.521205787,0.53393509,0.452357939,0.284095829,White LED,12.5 mA,b'OK Read',08:56:54,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,0.153899897,0.266545534,0.532926142,0.545872992,0.461480383,0.289038011,White LED,25 mA,b'OK Read',08:56:55,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,0.183957294,0.320857245,0.62802678,0.642711519,0.543521116,0.343122327,White LED,50 mA,b'OK Read',08:56:57,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,0.188280846,0.328864094,0.661751115,0.675982353,0.571329722,0.361515727,White LED,100 mA,b'OK Read',08:56:58,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,0.150457494,0.258729759,0.521023773,0.533673039,0.452144132,0.284264358,White LED,12.5 mA,b'OK Read',08:56:59,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,0.153835269,0.266373144,0.532024885,0.545333259,0.46135562,0.289515464,White LED,25 mA,b'OK Read',08:57:01,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,0.196367725,0.339085339,0.678007911,0.695601859,0.585237461,0.36247717,White LED,50 mA,b'OK Read',08:57:02,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,0.205268124,0.354986419,0.719216442,0.738301388,0.620927096,0.384960734,White LED,100 mA,b'OK Read',08:57:03,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,200,0.150560248,0.258570852,0.521179075,0.533764786,0.452457294,0.284375671,White LED,12.5 mA,b'OK Read',08:57:04,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,200,0.155433799,0.269278979,0.535444841,0.548485344,0.463945186,0.291395368,White LED,25 mA,b'OK Read',08:57:05,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,200,0.200183879,0.346956019,0.69618725,0.713430638,0.600179494,0.37174229,White LED,50 mA,b'OK Read',08:57:06,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,200,0.220632636,0.390905357,0.783687161,0.80576987,0.672511629,0.404382574,White LED,100 mA,b'OK Read',08:57:07,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,250,0.150511852,0.258435871,0.521253966,0.533777382,0.452376167,0.284200081,White LED,12.5 mA,b'OK Read',08:57:08,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,250,0.154360212,0.267137407,0.531954482,0.544338937,0.461206313,0.289640093,White LED,25 mA,b'OK Read',08:57:10,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,250,0.251742727,0.463852393,0.923228995,0.95081571,0.786392015,0.471206156,White LED,50 mA,b'OK Read',08:57:11,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,250,0.264143899,0.486847439,0.968507858,0.996255958,0.824442328,0.493610892,White LED,100 mA,b'OK Read',08:57:12,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,50,0.151062654,0.259113693,0.520885456,0.533675921,0.454246236,0.284977326,White LED,12.5 mA,b'OK Read',08:57:23,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,50,0.160227672,0.27629822,0.545078749,0.558587118,0.473827547,0.296969241,White LED,25 mA,b'OK Read',08:57:25,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,50,0.186936253,0.323520886,0.630418191,0.645691873,0.547185914,0.344616043,White LED,50 mA,b'OK Read',08:57:26,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,50,0.186755423,0.321913935,0.651848325,0.666974138,0.56673726,0.357632848,White LED,100 mA,b'OK Read',08:57:27,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,0.151000688,0.258650032,0.521108229,0.533671755,0.453974449,0.284823824,White LED,12.5 mA,b'OK Read',08:57:28,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,0.154424176,0.26612103,0.532315358,0.545368075,0.462516992,0.289709512,White LED,25 mA,b'OK Read',08:57:29,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,0.184992115,0.320496845,0.628603334,0.643329163,0.546067063,0.34449676,White LED,50 mA,b'OK Read',08:57:30,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,0.189401184,0.3285381,0.661684199,0.676193522,0.573507667,0.362987131,White LED,100 mA,b'OK Read',08:57:31,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,0.150999988,0.258104157,0.520828322,0.533379795,0.453523705,0.284750468,White LED,12.5 mA,b'OK Read',08:57:32,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,0.154279967,0.265853711,0.532024885,0.544934826,0.462362538,0.28983563,White LED,25 mA,b'OK Read',08:57:34,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,0.196734073,0.338831604,0.677489532,0.695086179,0.586389752,0.36286316,White LED,50 mA,b'OK Read',08:57:35,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,0.205785457,0.354751948,0.719531989,0.738630697,0.62202902,0.385322737,White LED,100 mA,b'OK Read',08:57:36,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,200,0.151102817,0.257966846,0.52078769,0.533324342,0.453628418,0.284649396,White LED,12.5 mA,b'OK Read',08:57:37,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,200,0.155818771,0.268741434,0.534957133,0.54790671,0.465014457,0.291685538,White LED,25 mA,b'OK Read',08:57:38,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,200,0.201154633,0.346594585,0.695728138,0.714170607,0.602655922,0.37300508,White LED,50 mA,b'OK Read',08:57:39,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,200,0.222082496,0.390379991,0.783905419,0.806093599,0.674413129,0.405167571,White LED,100 mA,b'OK Read',08:57:40,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,250,0.150873482,0.257952409,0.520862311,0.533424899,0.453529917,0.284638217,White LED,12.5 mA,b'OK Read',08:57:42,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,250,0.155200675,0.266312091,0.531443939,0.543823416,0.463077917,0.290447824,White LED,25 mA,b'OK Read',08:57:43,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,250,0.253278887,0.463049646,0.923631704,0.951142798,0.789798302,0.472823893,White LED,50 mA,b'OK Read',08:57:44,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,250,0.265511155,0.486103633,0.967606155,0.996985246,0.827971862,0.495386584,White LED,100 mA,b'OK Read',08:57:46,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,50,0.150881758,0.258313176,0.519526402,0.532626776,0.452458617,0.282439323,White LED,12.5 mA,b'OK Read',08:57:51,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,50,0.160128881,0.275566882,0.543731076,0.556716129,0.472675827,0.294821504,White LED,25 mA,b'OK Read',08:57:52,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,50,0.187145984,0.3233133,0.629912508,0.644714072,0.547588864,0.343790633,White LED,50 mA,b'OK Read',08:57:53,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,50,0.186386941,0.322005274,0.651386766,0.666438659,0.565817384,0.356121701,White LED,100 mA,b'OK Read',08:57:54,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,100,0.150910277,0.257980688,0.519938113,0.532091559,0.452806953,0.282639918,White LED,12.5 mA,b'OK Read',08:57:56,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
