Fruit,spot,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Fruit.1,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,2,64,50,0.405834189,0.353573102,0.336463262,0.341287483,0.368772277,0.432040095,0.63368793,0.639499751,0.473101022,0.554096181,0.654283923,0.747401708,1.188839098,1.025664338,0.959945852,1.163050179,0.566050848,0.454688455,b'White',100 mA,b'OK Read',09:10:04,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,3,64,50,0.487035261,0.441147767,0.427623737,0.43214744,0.454035984,0.528837855,1.126475061,1.016207437,0.56671142,0.790708782,0.562625066,1.180900816,1.132087979,0.916955808,0.843925499,0.963254888,0.74864436,0.55238795,b'White',100 mA,b'OK Read',09:18:24,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
2,2,64,50,0.491566756,0.397734728,0.382073149,0.386188966,0.434335713,0.530281842,1.124587151,1.054713601,0.726402186,0.81752002,0.969450117,1.359207259,1.6048745,1.32868747,1.433355188,1.837737591,0.778455727,0.549849557,b'White',100 mA,b'OK Read',10:06:21,2,83.90062125,372.0328407,0.227132065,1.007150912,22.55193953
3,1,64,50,0.474408392,0.412124157,0.400947775,0.405470328,0.437811278,0.518547359,1.131751291,1.04575819,0.646550688,0.822227662,0.668384723,1.222118711,1.196053989,1.047653137,1.165446144,1.383298118,0.760864112,0.538524976,b'White',100 mA,b'OK Read',10:37:48,3,64.60570815,323.9040151,0.386362921,1.937050223,19.94594236
3,3,64,50,0.483019937,0.413909842,0.397174234,0.405666346,0.442724852,0.517325586,0.847399812,0.777321524,0.555913029,0.664720856,0.603950705,0.910252425,1.165234459,0.92099076,0.856835898,0.910722505,0.641798353,0.539427446,b'White',100 mA,b'OK Read',10:58:51,3,64.60570815,323.9040151,0.386362921,1.937050223,19.94594236
4,1,64,50,0.494164123,0.40452138,0.384796867,0.399367139,0.452458048,0.519279844,0.777422477,0.790894245,0.610581712,0.72131814,0.99337746,0.92974146,1.282072459,1.027560195,0.954635699,1.11934088,0.65360092,0.559168289,b'White',100 mA,b'OK Read',11:23:47,4,54.44968459,298.6147539,0.2133262,1.169930573,18.23409054
4,3,64,50,0.532963343,0.456174062,0.44172918,0.439350373,0.480747805,0.573891093,1.269482311,1.113363264,0.741481868,0.848251438,0.873637084,1.433075466,1.546109102,1.242035936,1.351085896,1.687460031,0.85279005,0.609826843,b'White',100 mA,b'OK Read',11:40:19,4,54.44968459,298.6147539,0.2133262,1.169930573,18.23409054
5,3,64,50,0.564497369,0.473362519,0.45731555,0.456096428,0.482122108,0.574209227,1.132984799,1.090381649,0.958471949,1.17646601,1.129060323,1.399168582,1.064148902,0.96126581,1.072733856,1.302708938,0.792320513,0.648858934,b'White',100 mA,b'OK Read',12:31:50,5,66.96806546,382.9285498,4.314978646,24.67337983,17.48839712
6,1,64,50,0.503701456,0.418595737,0.398992571,0.402666071,0.442835543,0.533931959,1.067499926,1.111578656,0.868984725,1.157608864,1.36066852,1.284754665,1.154195755,1.062532119,1.145262231,1.371991601,0.768900943,0.605424523,b'White',100 mA,b'OK Read',12:41:53,6,97.50424824,831.5179956,3.69344021,31.49772502,11.72605389
6,2,64,50,0.484432137,0.396936487,0.374673661,0.367380309,0.416468659,0.513093443,0.846743537,0.930449161,0.825992568,0.981118742,1.421153787,1.097720987,1.181726155,1.116016978,1.222883222,1.541216599,0.707842252,0.552382768,b'White',100 mA,b'OK Read',12:50:57,6,97.50424824,831.5179956,3.69344021,31.49772502,11.72605389
