Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
56A,1,64,50,7873.099,2324.749,759.548,542.133,589.787,482.036,White LED,12.5 mA,b'OK Read',9:52:47
56A,1,64,50,15122.373,4317.39,1297.33,839.126,887.29,671.189,White LED,25 mA,b'OK Read',9:52:48
56A,1,64,50,28344.592,7944.208,2284.188,1381.259,1435.322,994.58,White LED,50 mA,b'OK Read',9:52:50
56A,1,64,50,33794.094,9372.796,2711.087,1631.111,1670.193,1165.428,White LED,100 mA,b'OK Read',9:52:51
56A,1,64,100,7894.611,2332.656,776.18,558.632,605.445,506.442,White LED,12.5 mA,b'OK Read',9:52:52
56A,1,64,100,15308.804,4351.655,1322.278,860.34,910.777,689.494,White LED,25 mA,b'OK Read',9:52:54
56A,1,64,100,28609.895,8054.911,2309.137,1409.544,1464.028,1031.19,White LED,50 mA,b'OK Read',9:52:55
56A,1,64,100,34593.594,9591.564,2766.528,1659.396,1698.899,1180.682,White LED,100 mA,b'OK Read',9:52:56
56A,1,64,150,8030.848,2363.406,772.484,551.561,600.226,490.171,White LED,12.5 mA,b'OK Read',9:52:58
56A,1,64,150,15480.894,4429.85,1323.203,857.983,908.167,683.393,White LED,25 mA,b'OK Read',9:52:59
56A,1,64,150,28920.612,8137.498,2332.237,1422.115,1471.857,1035.258,White LED,50 mA,b'OK Read',9:53:01
56A,1,64,150,34934.19,9754.103,2797.945,1681.396,1718.907,1191.869,White LED,100 mA,b'OK Read',9:53:02
56A,1,64,200,8041.603,2377.464,778.952,556.275,604.14,494.239,White LED,12.5 mA,b'OK Read',9:53:03
56A,1,64,200,15446.835,4424.139,1323.665,859.162,912.082,684.918,White LED,25 mA,b'OK Read',9:53:05
56A,1,64,200,28776.609,8148.481,2318.839,1410.723,1452.285,1022.038,White LED,50 mA,b'OK Read',9:53:06
56A,1,64,200,34916.262,9855.141,2799.793,1677.075,1709.338,1183.733,White LED,100 mA,b'OK Read',9:53:08
56A,1,64,250,8030.848,2372.192,770.636,547.789,592.918,483.256,White LED,12.5 mA,b'OK Read',9:53:09
56A,1,64,250,15460.816,4430.201,1319.507,853.269,901.904,676.07,White LED,25 mA,b'OK Read',9:53:10
56A,1,64,250,28746.133,8140.31,2321.888,1411.43,1462.462,1022.648,White LED,50 mA,b'OK Read',9:53:12
56A,1,64,250,34894.035,9795.573,2805.337,1683.91,1711.947,1184.954,White LED,100 mA,b'OK Read',9:53:13
56A,2,64,50,8095.382,2388.007,770.636,546.846,595.006,482.036,White LED,12.5 mA,b'OK Read',9:53:17
56A,2,64,50,15552.597,4449.178,1313.963,853.269,902.948,677.291,White LED,25 mA,b'OK Read',9:53:18
56A,2,64,50,29075.971,8191.971,2317.452,1409.544,1471.857,1031.19,White LED,50 mA,b'OK Read',9:53:20
56A,2,64,50,34747.759,9704.903,2744.352,1649.968,1696.289,1177.631,White LED,100 mA,b'OK Read',9:53:21
56A,2,64,100,8048.774,2382.735,770.636,546.846,595.006,482.036,White LED,12.5 mA,b'OK Read',9:53:23
56A,2,64,100,15495.234,4443.907,1319.506,853.269,902.948,677.291,White LED,25 mA,b'OK Read',9:53:24
56A,2,64,100,28928.98,8181.427,2317.453,1409.544,1466.638,1028.14,White LED,50 mA,b'OK Read',9:53:25
56A,2,64,100,34858.899,9781.34,2780.389,1671.182,1711.947,1186.784,White LED,100 mA,b'OK Read',9:53:27
56A,2,64,150,8035.628,2386.25,776.18,554.703,601.965,490.171,White LED,12.5 mA,b'OK Read',9:53:28
56A,2,64,150,15473.724,4447.422,1323.203,857.983,908.167,683.393,White LED,25 mA,b'OK Read',9:53:30
56A,2,64,150,28853.688,8183.185,2324.845,1415.83,1471.857,1031.19,White LED,50 mA,b'OK Read',9:53:31
56A,2,64,150,34910.287,9794.518,2790.553,1675.11,1699.769,1185.767,White LED,100 mA,b'OK Read',9:53:32
56A,2,64,200,8030.848,2380.1,773.408,550.382,596.311,485.087,White LED,12.5 mA,b'OK Read',9:53:34
56A,2,64,200,15454.005,4439.953,1320.893,854.448,904.253,678.816,White LED,25 mA,b'OK Read',9:53:35
56A,2,64,200,28756.89,8159.023,2320.225,1411.901,1465.333,1026.614,White LED,50 mA,b'OK Read',9:53:36
56A,2,64,200,34862.485,9807.697,2797.021,1680.61,1714.557,1186.784,White LED,100 mA,b'OK Read',9:53:38
56A,2,64,250,8023.678,2377.464,773.963,549.675,595.006,484.476,White LED,12.5 mA,b'OK Read',9:53:39
56A,2,64,250,15419.228,4436.527,1319.507,854.212,903.992,678.511,White LED,25 mA,b'OK Read',9:53:40
56A,2,64,250,28681.6,8152.961,2317.453,1412.373,1463.506,1023.868,White LED,50 mA,b'OK Read',9:53:42
56A,2,64,250,34888.297,9829.31,2804.229,1684.853,1718.211,1188.615,White LED,100 mA,b'OK Read',9:53:43
56A,3,64,50,8109.722,2398.55,770.636,551.561,600.226,488.137,White LED,12.5 mA,b'OK Read',9:53:48
56A,3,64,50,15574.109,4464.993,1319.506,853.269,908.167,683.393,White LED,25 mA,b'OK Read',9:53:49
56A,3,64,50,29118.994,8223.6,2317.452,1414.259,1471.857,1031.19,White LED,50 mA,b'OK Read',9:53:51
56A,3,64,50,34783.611,9752.346,2749.896,1654.682,1701.508,1183.734,White LED,100 mA,b'OK Read',9:53:52
56A,3,64,100,8055.944,2390.643,773.408,551.561,597.616,485.087,White LED,12.5 mA,b'OK Read',9:53:54
56A,3,64,100,15484.479,4454.45,1319.506,855.626,905.558,680.341,White LED,25 mA,b'OK Read',9:53:55
56A,3,64,100,28954.075,8199.878,2322.997,1414.258,1469.247,1031.19,White LED,50 mA,b'OK Read',9:53:56
56A,3,64,100,34869.656,9797.155,2777.616,1668.825,1711.947,1186.784,White LED,100 mA,b'OK Read',9:53:58
56A,3,64,150,8035.628,2386.25,774.332,551.561,598.486,486.104,White LED,12.5 mA,b'OK Read',9:53:59
56A,3,64,150,15478.504,4452.693,1323.203,856.412,906.427,679.325,White LED,25 mA,b'OK Read',9:54:00
56A,3,64,150,28846.52,8186.699,2324.845,1415.83,1468.378,1031.19,White LED,50 mA,b'OK Read',9:54:02
56A,3,64,150,34905.508,9824.39,2792.401,1679.824,1717.167,1189.835,White LED,100 mA,b'OK Read',9:54:03
56A,3,64,200,8032.64,2384.053,776.18,552.739,597.616,488.137,White LED,12.5 mA,b'OK Read',9:54:04
56A,3,64,200,15454.005,4451.814,1323.665,856.805,906.862,680.342,White LED,25 mA,b'OK Read',9:54:06
56A,3,64,200,28774.815,8174.838,2324.383,1416.615,1467.943,1029.665,White LED,50 mA,b'OK Read',9:54:07
56A,3,64,200,34923.433,9832.737,2806.723,1686.503,1719.776,1192.886,White LED,100 mA,b'OK Read',9:54:09
56A,3,64,250,8023.678,2383.79,775.072,552.504,599.182,489.358,White LED,12.5 mA,b'OK Read',9:54:10
56A,3,64,250,15453.647,4442.852,1325.051,857.983,908.167,682.172,White LED,25 mA,b'OK Read',9:54:11
56A,3,64,250,28707.414,8159.287,2324.106,1416.144,1467.682,1029.97,White LED,50 mA,b'OK Read',9:54:13
56A,3,64,250,34942.793,9840.908,2815.317,1691.453,1723.43,1194.716,White LED,100 mA,b'OK Read',9:54:14
56A,4,64,50,8102.552,2393.278,776.181,551.561,600.226,488.137,White LED,12.5 mA,b'OK Read',9:54:18
56A,4,64,50,15574.109,4459.722,1319.506,857.984,908.167,683.393,White LED,25 mA,b'OK Read',9:54:20
56A,4,64,50,29118.994,8207.785,2322.997,1414.259,1477.076,1037.292,White LED,50 mA,b'OK Read',9:54:21
56A,4,64,50,34331.875,9604.743,2716.631,1640.539,1685.85,1177.631,White LED,100 mA,b'OK Read',9:54:22
56A,4,64,100,8059.529,2390.643,776.18,553.918,602.835,491.188,White LED,12.5 mA,b'OK Read',9:54:23
56A,4,64,100,15505.99,4451.814,1325.051,857.983,910.777,683.393,White LED,25 mA,b'OK Read',9:54:25
56A,4,64,100,28954.075,8186.699,2325.769,1416.615,1474.467,1034.241,White LED,50 mA,b'OK Read',9:54:26
56A,4,64,100,34367.727,9639.008,2741.58,1649.968,1693.68,1177.631,White LED,100 mA,b'OK Read',9:54:27
56A,4,64,150,8035.628,2386.25,776.18,553.132,601.965,490.171,White LED,12.5 mA,b'OK Read',9:54:29
56A,4,64,150,15480.894,4447.422,1325.051,859.555,911.647,685.426,White LED,25 mA,b'OK Read',9:54:30
56A,4,64,150,28825.006,8172.642,2321.149,1417.401,1471.857,1033.224,White LED,50 mA,b'OK Read',9:54:31
56A,4,64,150,34410.749,9675.03,2757.288,1660.968,1698.029,1179.666,White LED,100 mA,b'OK Read',9:54:32
