Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
12A,1,64,50,3488.298,2448.168,4981.044,5940.154,8627.84,4951.728,White LED,12.5 mA,b'OK Read',09:49:51
12A,1,64,50,6759.311,4707.547,9817.165,11628.245,16830.896,9486.227,White LED,25 mA,b'OK Read',09:49:52
12A,1,64,50,12755.191,8513.777,18652.077,21677.522,31816.341,17587.804,White LED,50 mA,b'OK Read',09:49:54
12A,1,64,50,14863.438,10127.619,21818.906,25306.297,39207.588,21980.171,White LED,100 mA,b'OK Read',09:49:55
12A,1,64,100,3265.141,2161.939,5077.659,5714.248,8962.948,5291.013,White LED,12.5 mA,b'OK Read',09:49:56
12A,1,64,100,6298.316,4202.079,9937.934,11155.031,17168.364,9710.889,White LED,25 mA,b'OK Read',09:49:57
12A,1,64,100,11824.39,7883.465,18743.325,20999.802,31929.617,17651.994,White LED,50 mA,b'OK Read',09:49:58
12A,1,64,100,14883.992,9865.75,23745.84,26552.349,40217.629,22044.358,White LED,100 mA,b'OK Read',09:49:59
12A,1,64,150,3257.311,2176.149,5090.183,5715.041,8950.361,5286.428,White LED,12.5 mA,b'OK Read',09:50:00
12A,1,64,150,6303.21,4191.929,9960.299,11151.067,17142.404,9666.567,White LED,25 mA,b'OK Read',09:50:02
12A,1,64,150,11842.987,7862.15,18761.217,20949.865,31855.674,17511.388,White LED,50 mA,b'OK Read',09:50:03
12A,1,64,150,14971.102,9841.39,23826.353,26566.616,40249.095,21966.414,White LED,100 mA,b'OK Read',09:50:04
12A,1,64,200,3269.545,2155.849,5095.104,5713.059,8957.048,5271.527,White LED,12.5 mA,b'OK Read',09:50:05
12A,1,64,200,6320.337,4191.421,9966.114,11151.464,17142.405,9654.723,White LED,25 mA,b'OK Read',09:50:06
12A,1,64,200,11855.221,7831.7,18739.299,20921.331,31783.303,17465.158,White LED,50 mA,b'OK Read',09:50:07
12A,1,64,200,15008.783,9864.228,23804.883,26563.049,40209.37,21958.391,White LED,100 mA,b'OK Read',09:50:08
12A,1,64,250,3269.839,2161.939,5090.541,5708.065,8944.068,5264.42,White LED,12.5 mA,b'OK Read',09:50:10
12A,1,64,250,6317.695,4188.681,9961.015,11141.238,17122.582,9644.865,White LED,25 mA,b'OK Read',09:50:11
