Fruit number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
24A,1,64,50,71.15,142.05,492.5,308.5,855.25,1554.05,311.7,532.9,6363.3,886.7,1127.25,345.8,696.6,423.4,311.05,171.2,74.85,58.45,b'White',12.5 mA,b'OK Read',09:21:28
24A,1,64,50,42.7,45.85,45.9,31.3,41.65,35.55,21.5,36.55,108.8,81.2,135.7,75.45,212.6,243.75,573.9,890.2,537,175.4,b'IR',12.5 mA,b'OK Read',09:21:28
24A,1,64,50,953.25,233.7,79.3,40.25,34.05,35.55,10.75,18.3,120.3,74.45,120.05,75.45,194.5,209.55,148.95,108.4,39.05,19.5,b'UV',12.5 mA,b'OK Read',09:21:29
24A,1,64,50,118.55,206.2,596.85,335.3,927.15,1592.8,325.15,556.4,6340.4,916.05,1184.7,379.3,773.5,517.5,775.4,987.2,595.6,224.1,b'White IR',12.5 mA,b'OK Read',09:21:30
24A,1,64,50,829.9,348.25,596.85,344.25,915.8,1586.35,317.05,543.35,6386.2,900.25,1205.55,370.95,750.9,487.55,350.45,205.45,91.15,68.2,b'White UV',12.5 mA,b'OK Read',09:21:31
24A,1,64,50,787.25,238.3,133.55,58.1,68.1,61.4,26.85,44.4,148.9,108.3,172.2,96.4,244.25,273.7,608.9,901.6,556.55,185.15,b'UV IR',12.5 mA,b'OK Read',09:21:32
24A,1,64,50,782.5,352.85,605.2,357.7,946.05,1596.05,335.9,572.1,6472.1,927.3,1242.1,387.7,778,521.75,784.15,987.2,602.1,229,b'White UV IR',12.5 mA,b'OK Read',09:21:33
24A,1,64,50,156.5,339.1,964.15,585.7,1740.8,3017.6,612.65,1047.5,12491.75,1665.1,2113.65,643.4,1253,722.75,516.95,285.3,130.2,107.2,b'White',25 mA,b'OK Read',09:21:34
24A,1,64,50,94.85,123.75,150.25,53.65,87.05,77.55,40.3,65.3,166.1,128.6,203.55,106.9,275.95,316.5,1064.5,1734.75,1145.65,370.3,b'IR',25 mA,b'OK Read',09:21:35
24A,1,64,50,943.75,279.55,154.45,53.65,56.75,67.85,13.45,20.9,131.75,85.75,161.8,81.75,226.15,248.05,184,125.55,45.55,24.35,b'UV',25 mA,b'OK Read',09:21:36
24A,1,64,50,189.7,371.2,968.3,617,1778.6,3004.7,652.95,1115.4,12755.2,1728.25,2265,676.9,1302.75,795.45,1410.6,1894.55,1236.75,462.85,b'White IR',25 mA,b'OK Read',09:21:37
24A,1,64,50,939,508.65,959.95,612.5,1737,2975.6,628.75,1073.65,12755.2,1685.4,2202.35,655.95,1257.5,727.05,530.05,285.3,136.7,112.05,b'White UV',25 mA,b'OK Read',09:21:38
24A,1,64,50,872.6,293.3,187.8,80.5,105.95,93.7,45.7,73.15,171.85,137.65,229.65,115.25,280.45,320.75,1064.5,1734.75,1152.15,380.05,b'UV IR',25 mA,b'OK Read',09:21:39
24A,1,64,50,896.3,522.4,980.8,643.8,1782.4,2998.2,661,1125.85,12801.05,1739.55,2265,685.3,1307.25,795.45,1401.85,1888.85,1240,467.7,b'White UV IR',25 mA,b'OK Read',09:21:39
24A,1,64,50,246.6,600.3,1556.8,1037.25,3228,5573.2,1166.15,1990.5,23694.8,3077.5,3997.65,1148.45,2157.65,1146.15,832.35,422.3,208.3,185.15,b'White',50 mA,b'OK Read',09:21:41
24A,1,64,50,123.3,155.8,192,84.95,140,106.6,72.55,117.55,200.45,182.75,292.25,136.2,325.7,384.9,1870.6,3229.85,2343.35,784.4,b'IR',50 mA,b'OK Read',09:21:42
24A,1,64,50,1128.7,320.8,171.1,62.6,64.35,74.3,16.1,26.1,137.45,90.25,146.15,88,230.7,252.35,184,125.55,48.8,24.35,b'UV',50 mA,b'OK Read',09:21:43
24A,1,64,50,298.75,641.55,1590.2,1090.9,3296.1,5573.2,1225.25,2084.55,23723.45,3156.45,3950.65,1205.05,2248.15,1278.75,2514.55,3520.9,2509.35,950.05,b'White IR',50 mA,b'OK Read',09:21:44
24A,1,64,50,1119.2,774.45,1569.3,1068.55,3220.45,5544.1,1176.9,2003.6,23740.6,3079.75,3971.55,1161,2162.2,1146.15,836.7,428,214.8,194.9,b'White UV',50 mA,b'OK Read',09:21:45
24A,1,64,50,991.15,339.1,221.2,111.75,158.95,119.55,80.6,128,211.9,194.05,276.6,146.7,330.2,389.2,1866.2,3218.45,2353.1,789.3,b'UV IR',50 mA,b'OK Read',09:21:46
24A,1,64,50,1000.65,783.6,1586,1104.35,3246.95,5498.9,1217.2,2068.9,23442.8,3113.6,4008.1,1200.85,2230.05,1270.2,2475.1,3486.65,2509.35,959.8,b'White UV IR',50 mA,b'OK Read',09:21:46
24A,1,64,50,298.75,756.1,1878.15,1301.05,4064.35,7056.15,1491.3,2539.1,30178.35,3862.65,4822.2,1448.15,2695.95,1394.2,1011.95,507.9,253.85,233.85,b'White',100 mA,b'OK Read',09:21:48
24A,1,64,50,175.45,206.2,242.1,134.15,230.85,148.6,129,214.2,263.45,282.05,391.4,192.8,416.15,500.4,3123.45,5518.15,4680.2,1680.9,b'IR',100 mA,b'OK Read',09:21:49
24A,1,64,50,1285.2,352.85,179.45,67.05,68.1,77.55,18.8,26.1,143.2,92.5,146.15,90.1,230.7,252.35,184,125.55,48.8,24.35,b'UV',100 mA,b'OK Read',09:21:50
24A,1,64,50,360.4,733.2,1723.75,1216.1,3602.65,6032,1370.35,2327.5,25579.15,3454.3,4451.7,1339.15,2487.85,1458.35,3793.75,5809.2,4849.4,1861.15,b'White IR',100 mA,b'OK Read',09:21:51
24A,1,64,50,1242.5,925.65,1857.3,1296.6,3954.6,6855.85,1451,2468.55,29244.75,3756.65,4837.85,1416.7,2628.1,1364.3,990.05,496.45,253.85,233.85,b'White UV',100 mA,b'OK Read',09:21:52
24A,1,64,50,962.7,366.6,262.95,160.95,242.2,155.1,137.05,224.65,269.2,291.05,396.65,201.2,420.7,500.4,3092.8,5483.9,4686.7,1690.65,b'UV IR',100 mA,b'OK Read',09:21:53
24A,1,64,50,939,843.2,1711.2,1216.1,3534.55,5899.5,1351.55,2296.15,25126.7,3397.9,4389.05,1324.5,2451.7,1437,3675.45,5677.95,4826.65,1875.75,b'White UV IR',100 mA,b'OK Read',09:21:54
24A,1,64,100,123.3,231.425,580.15,333.075,906.35,1549.2,323.775,557.7,6684.025,907,1216,375.125,764.45,500.375,365.8,211.15,89.5,63.35,b'White',12.5 mA,b'OK Read',09:21:56
24A,1,64,100,90.1,128.3,166.95,40.25,71.9,80.775,22.85,37.875,151.775,103.775,177.45,92.2,255.575,286.55,604.55,893.075,561.425,182.7,b'IR',12.5 mA,b'OK Read',09:21:57
24A,1,64,100,663.95,245.175,173.2,46.95,60.55,77.55,12.1,19.6,140.325,84.6,164.4,83.825,235.225,256.6,188.375,128.4,47.2,21.925,b'UV',12.5 mA,b'OK Read',09:21:58
24A,1,64,100,137.525,247.45,592.675,346.5,934.725,1563.725,341.25,585.15,6744.175,936.325,1205.55,390.85,791.6,538.875,792.925,984.375,608.625,229,b'White IR',12.5 mA,b'OK Read',09:21:59
24A,1,64,100,697.125,357.425,596.85,350.975,921.475,1557.275,330.5,566.85,6726.975,919.425,1223.825,382.475,768.975,506.8,372.375,214,94.375,68.2,b'White UV',12.5 mA,b'OK Read',09:22:00
