Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
38A,1,64,50,9114.206,6437.098,15410.105,15142.876,14508.743,5020.502,White LED,12.5 mA,b'OK Read',09:52:45
38A,1,64,50,17670.519,12527.067,30090.23,29558.095,28111.28,9660.454,White LED,25 mA,b'OK Read',09:52:46
38A,1,64,50,32939.162,23318.491,56331.958,55282.915,52262.622,17835.391,White LED,50 mA,b'OK Read',09:52:48
38A,1,64,50,38271.443,27015.103,65628.476,64381.006,60781.909,20705.559,White LED,100 mA,b'OK Read',09:52:49
38A,1,64,100,9123.015,6406.648,15345.694,15073.916,14494.583,5043.426,White LED,12.5 mA,b'OK Read',09:52:50
38A,1,64,100,17617.666,12438.762,29891.631,29353.591,27936.645,9598.558,White LED,25 mA,b'OK Read',09:52:51
38A,1,64,100,32771.795,23169.287,55918.662,54878.657,51856.719,17681.795,White LED,50 mA,b'OK Read',09:52:52
38A,1,64,100,38227.4,26948.115,65287.642,64036.201,60453.882,20538.208,White LED,100 mA,b'OK Read',09:52:53
38A,1,64,150,9026.117,6357.928,15184.67,14917.762,14236.566,4872.256,White LED,12.5 mA,b'OK Read',09:52:54
38A,1,64,150,17535.451,12378.878,29710.924,29196.644,27670.762,9420.51,White LED,25 mA,b'OK Read',09:52:55
38A,1,64,150,32688.6,23064.743,55544.726,54490.257,51468.119,17454.841,White LED,50 mA,b'OK Read',09:52:57
38A,1,64,150,38261.657,26903.454,65208.021,63973.581,60338.242,20459.5,White LED,100 mA,b'OK Read',09:52:58
38A,1,64,200,9008.5,6329.001,15212.849,14953.828,14329.388,4955.167,White LED,12.5 mA,b'OK Read',09:52:59
38A,1,64,200,17544.259,12420.492,29753.418,29232.315,27808.03,9563.024,White LED,25 mA,b'OK Read',09:53:00
38A,1,64,200,32685.176,23125.137,55534.883,54533.853,51505.093,17577.488,White LED,50 mA,b'OK Read',09:53:01
38A,1,64,200,38312.551,26963.34,65162.847,63989.829,60351.226,20582.913,White LED,100 mA,b'OK Read',09:53:02
38A,1,64,250,9061.353,6389.596,15257.668,15002.101,14408.682,5026.921,White LED,12.5 mA,b'OK Read',09:53:03
38A,1,64,250,17568.336,12423.537,29741.342,29241.352,27811.098,9569.673,White LED,25 mA,b'OK Read',09:53:05
38A,1,64,250,32700.738,23057.842,55431.289,54443.016,51441.375,17564.879,White LED,50 mA,b'OK Read',09:53:07
38A,1,64,250,38305.504,26875.035,65011.211,62335.953,60150.395,20407.537,White LED,100 mA,b'Saturated Read',09:53:09
38A,2,64,50,8708.999,6272.668,15088.054,14867.032,14225.553,5015.917,White LED,12.5 mA,b'OK Read',09:53:21
38A,2,64,50,16842.489,12313.919,29397.822,28977.874,27412.744,9504.567,White LED,25 mA,b'OK Read',09:53:23
38A,2,64,50,31406.426,22959.185,55129.638,54293.682,51101.548,17688.672,White LED,50 mA,b'OK Read',09:53:24
38A,2,64,50,36509.677,26631.435,64206.089,63234.824,59446.196,20549.671,White LED,100 mA,b'OK Read',09:53:25
38A,2,64,100,8717.808,6336.613,15037.063,14840.875,14197.234,5034.257,White LED,12.5 mA,b'OK Read',09:53:26
38A,2,64,100,16871.852,12280.423,29317.31,28920.801,27400.945,9566.463,White LED,25 mA,b'OK Read',09:53:27
38A,2,64,100,31409.363,22846.519,54842.476,54005.947,50870.274,17592.389,White LED,50 mA,b'OK Read',09:53:28
38A,2,64,100,36709.343,26604.031,64211.455,63184.888,59472.158,20542.793,White LED,100 mA,b'OK Read',09:53:29
38A,2,64,150,8714.872,6309.208,15005.753,14805.205,14175.208,5017.445,White LED,12.5 mA,b'OK Read',09:53:30
38A,2,64,150,16879.681,12248.958,29267.213,28854.219,27365.547,9544.302,White LED,25 mA,b'OK Read',09:53:31
38A,2,64,150,31426.003,22780.545,54676.979,53840.28,50717.666,17537.37,White LED,50 mA,b'OK Read',09:53:32
38A,2,64,150,36811.136,26578.656,64123.783,63120.684,59312.467,20381.556,White LED,100 mA,b'OK Read',09:53:33
38A,2,64,200,8672.296,6257.443,14906.902,14704.142,13989.562,4858.883,White LED,12.5 mA,b'OK Read',09:53:34
38A,2,64,200,16843.958,12204.298,29153.601,28736.509,27170.852,9380.773,White LED,25 mA,b'OK Read',09:53:35
38A,2,64,200,31391.746,22711.018,54472.119,53648.062,50463.188,17351.68,White LED,50 mA,b'OK Read',09:53:36
38A,2,64,200,36845.881,26546.177,64074.585,63095.713,59286.904,20381.174,White LED,100 mA,b'OK Read',09:53:38
38A,2,64,250,8690.207,6273.886,14910.927,14705.331,14002.777,4876.535,White LED,12.5 mA,b'OK Read',09:53:40
38A,2,64,250,16846.012,12199.427,29139.107,28731.516,27158.818,9387.192,White LED,25 mA,b'OK Read',09:53:41
38A,2,64,250,31397.029,22713.15,54407.172,53591.703,50408.676,17343.885,White LED,50 mA,b'OK Read',09:53:43
38A,2,64,250,36924.277,26555.92,64061.164,62335.953,59278.172,20371.775,White LED,100 mA,b'Saturated Read',09:53:45
38A,3,64,50,8720.744,6357.928,15077.32,14871.789,14197.234,5011.332,White LED,12.5 mA,b'OK Read',09:53:52
38A,3,64,50,16877.725,12289.558,29403.189,28987.385,27441.062,9536.662,White LED,25 mA,b'OK Read',09:53:54
38A,3,64,50,31447.534,22892.195,55092.065,54246.123,51054.345,17674.917,White LED,50 mA,b'OK Read',09:53:55
38A,3,64,50,36574.275,26619.255,64286.601,63296.65,59483.955,20554.255,White LED,100 mA,b'OK Read',09:53:56
38A,3,64,100,8723.681,6315.298,15034.38,14836.119,14192.515,5031.964,White LED,12.5 mA,b'OK Read',09:53:57
38A,3,64,100,16865.979,12256.063,29298.523,28885.132,27367.905,9548.123,White LED,25 mA,b'OK Read',09:53:58
38A,3,64,100,31429.917,22803.889,54772.7,53953.633,50775.879,17571.756,White LED,50 mA,b'OK Read',09:53:59
38A,3,64,100,36656.492,26488.32,64147.046,63111.172,59344.722,20393.783,White LED,100 mA,b'OK Read',09:54:00
38A,3,64,150,8703.128,6284.848,14968.18,14776.67,14129.583,4997.577,White LED,12.5 mA,b'OK Read',09:54:01
38A,3,64,150,16846.405,12198.209,29181.331,28773.369,27268.003,9504.566,White LED,25 mA,b'OK Read',09:54:03
38A,3,64,150,31379.02,22705.436,54544.58,53726.139,50577.646,17477.765,White LED,50 mA,b'OK Read',09:54:04
38A,3,64,150,36820.921,26580.685,64168.516,63215.801,59391.133,20506.878,White LED,100 mA,b'OK Read',09:54:05
38A,3,64,200,8685.51,6260.488,14960.576,14762.402,14128.796,4997.577,White LED,12.5 mA,b'OK Read',09:54:06
38A,3,64,200,16851.298,12214.956,29168.359,28773.367,27261.709,9530.93,White LED,25 mA,b'OK Read',09:54:07
38A,3,64,200,31476.897,22773.44,54473.462,53715.835,50537.529,17515.591,White LED,50 mA,b'OK Read',09:54:08
38A,3,64,200,37048.484,26657.317,64206.089,63282.383,59455.635,20563.425,White LED,100 mA,b'OK Read',09:54:09
38A,3,64,250,8719.57,6281.194,14961.382,14768.109,14124.549,4997.577,White LED,12.5 mA,b'OK Read',09:54:11
38A,3,64,250,16875.375,12187.246,29136.961,28727.711,27233.391,9479.808,White LED,25 mA,b'OK Read',09:54:12
38A,3,64,250,31434.615,22651.031,54289.086,53533.684,50310.504,17367.727,White LED,50 mA,b'OK Read',09:54:14
38A,3,64,250,37091.059,26644.834,64122.355,62335.953,59365.016,20546.002,White LED,100 mA,b'Saturated Read',09:54:16
38A,4,64,50,8761.853,6339.658,15055.85,14857.521,14168.915,5006.747,White LED,12.5 mA,b'OK Read',09:54:19
38A,4,64,50,16948.194,12265.198,29349.514,28916.045,27332.507,9463.302,White LED,25 mA,b'OK Read',09:54:20
38A,4,64,50,31611.966,22910.464,55102.798,54265.147,51016.592,17661.164,White LED,50 mA,b'OK Read',09:54:21
38A,4,64,50,36885.52,26680.156,64571.079,63496.402,59663.31,20609.275,White LED,100 mA,b'OK Read',09:54:22
38A,4,64,100,8758.917,6315.298,15039.747,14838.497,14171.274,5015.917,White LED,12.5 mA,b'OK Read',09:54:23
38A,4,64,100,16962.876,12240.839,29314.624,28904.155,27358.467,9550.416,White LED,25 mA,b'OK Read',09:54:24
38A,4,64,100,31597.285,22816.069,54863.945,54022.593,50815.996,17578.634,White LED,50 mA,b'OK Read',09:54:26
38A,4,64,100,37041.143,26643.616,64487.881,63486.89,59660.947,20590.935,White LED,100 mA,b'OK Read',09:54:27
38A,4,64,150,8750.108,6288.908,15007.542,14808.376,14150.036,5002.162,White LED,12.5 mA,b'OK Read',09:54:28
38A,4,64,150,16952.109,12218.508,29277.946,28854.219,27330.934,9535.133,White LED,25 mA,b'OK Read',09:54:29
38A,4,64,150,31574.772,22786.636,54700.234,53868.818,50668.896,17508.332,White LED,50 mA,b'OK Read',09:54:30
38A,4,64,150,37110.635,26637.526,64426.152,63434.577,59597.233,20560.369,White LED,100 mA,b'OK Read',09:54:31
38A,4,64,200,8735.426,6275.714,14990.098,14789.749,14131.156,4997.577,White LED,12.5 mA,b'OK Read',09:54:32
38A,4,64,200,16932.045,12208.866,29235.454,28834.006,27282.949,9516.029,White LED,25 mA,b'OK Read',09:54:33
38A,4,64,200,31553.24,22712.542,54575.444,53765.772,50561.128,17477.765,White LED,50 mA,b'OK Read',09:54:34
38A,4,64,200,37162.998,26634.48,64383.213,63421.494,59548.853,20557.695,White LED,100 mA,b'OK Read',09:54:35
38A,4,64,250,8734.839,6277.541,14979.631,14785.23,14118.885,4989.324,White LED,12.5 mA,b'OK Read',09:54:37
38A,4,64,250,16921.182,12192.118,29202.443,28797.146,27254.158,9501.815,White LED,25 mA,b'OK Read',09:54:39
38A,4,64,250,31516.83,22638.852,54466.215,53647.824,50467.203,17432.834,White LED,50 mA,b'OK Read',09:54:41
38A,4,64,250,37158.008,26572.973,64308.07,62335.953,59494.34,20528.58,White LED,100 mA,b'Saturated Read',09:54:42
38B,1,64,50,13947.32,9810.941,18378.335,18039.237,16651.543,5405.636,White LED,12.5 mA,b'OK Read',09:54:50
38B,1,64,50,24811.546,16796.136,35806.621,34751.57,32165.608,9981.399,White LED,25 mA,b'OK Read',09:54:51
38B,1,64,50,44302.558,29779.949,66680.508,64271.616,59455.635,17936.258,White LED,50 mA,b'OK Read',09:54:52
38B,1,64,50,51707.851,34584.936,77732.197,74858.315,69197.353,20801.841,White LED,100 mA,b'OK Read',09:54:54
38B,1,64,100,12376.41,8270.178,18233.412,17589.801,16495.789,5098.446,White LED,12.5 mA,b'OK Read',09:54:55
38B,1,64,100,24024.624,16031.844,35696.587,34451.946,32045.251,9752.153,White LED,25 mA,b'OK Read',09:54:56
38B,1,64,100,45691.416,30529.016,67241.411,65013.545,59941.777,18287.005,White LED,50 mA,b'OK Read',09:54:57
38B,1,64,100,52380.259,34801.13,78008.623,75155.562,69428.628,20859.153,White LED,100 mA,b'OK Read',09:54:58
38B,1,64,150,12367.602,8217.398,18181.527,17555.718,16363.633,4941.03,White LED,12.5 mA,b'OK Read',09:54:59
38B,1,64,150,24026.582,15994.289,35556.139,34302.926,31817.913,9539.718,White LED,25 mA,b'OK Read',09:55:00
38B,1,64,150,45907.721,30535.107,67439.115,65493.893,60132.142,18489.507,White LED,50 mA,b'OK Read',09:55:01
38B,1,64,150,55374.284,36819.954,78921.992,76656.055,70397.767,21617.961,White LED,100 mA,b'OK Read',09:55:02
38B,1,64,200,13041.477,8646.234,18423.959,17942.93,16648.003,5164.927,White LED,12.5 mA,b'OK Read',09:55:03
38B,1,64,200,24824.761,16467.277,35829.434,34736.113,32157.349,9764.761,White LED,25 mA,b'OK Read',09:55:04
38B,1,64,200,47024.487,31138.013,67308.506,65384.507,60096.353,18423.408,White LED,50 mA,b'OK Read',09:55:06
38B,1,64,200,54418.032,35830.334,78701.03,76235.156,70194.419,21314.209,White LED,100 mA,b'OK Read',09:55:07
38B,1,64,250,12968.951,8599.036,18484.611,17982.166,16769.539,5295.598,White LED,12.5 mA,b'OK Read',09:55:09
38B,1,64,250,25127.49,16673.117,36114.715,35128.238,32505.435,10110.694,White LED,25 mA,b'OK Read',09:55:10
38B,1,64,250,47473.738,31459.562,67195.789,62335.953,60099.422,18455.273,White LED,50 mA,b'Saturated Read',09:55:12
38B,1,64,250,54747.484,35989.281,70351.883,62335.953,61862.746,21673.896,White LED,100 mA,b'Saturated Read',09:55:14
38B,2,64,50,14452.359,9451.632,19521.614,19304.314,17888.137,6065.866,White LED,12.5 mA,b'OK Read',09:55:21
38B,2,64,50,28517.129,18696.206,38055.606,37310.259,34615.198,11338.54,White LED,25 mA,b'OK Read',09:55:22
38B,2,64,50,51337.881,33129.433,70942.304,68913.404,64076.348,20329.594,White LED,50 mA,b'OK Read',09:55:23
38B,2,64,50,60551.919,39182.861,82858.164,80769.932,74672.353,23841.653,White LED,100 mA,b'OK Read',09:55:25
38B,2,64,100,14235.074,9141.044,19301.546,18776.406,17602.588,5586.741,White LED,12.5 mA,b'OK Read',09:55:26
38B,2,64,100,27360.235,17514.752,37722.82,36656.318,34216.372,10792.933,White LED,25 mA,b'OK Read',09:55:27
38B,2,64,100,51417.158,32965.005,70995.981,69208.272,64017.349,20412.123,White LED,50 mA,b'OK Read',09:55:28
