Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
38A,1,64,50,9536.632,1671.078,842.71,612.846,715.051,512.544,White LED,12.5 mA,b'OK Read',09:44:01
38A,1,64,50,18313.202,3220.91,1502.464,989.981,1111.722,726.104,White LED,25 mA,b'OK Read',09:44:02
38A,1,64,50,34267.342,6125.528,2766.528,1720.681,1842.431,1122.716,White LED,50 mA,b'OK Read',09:44:03
38A,1,64,50,44026.255,7880.951,3559.341,2182.672,2286.076,1366.785,White LED,100 mA,b'OK Read',09:44:04
38A,1,64,100,9468.513,1697.435,867.659,626.988,715.051,509.494,White LED,12.5 mA,b'OK Read',09:44:05
38A,1,64,100,18227.157,3244.632,1519.096,1001.766,1111.722,726.104,White LED,25 mA,b'OK Read',09:44:07
38A,1,64,100,34027.134,6104.441,2758.212,1718.324,1837.212,1119.665,White LED,50 mA,b'OK Read',09:44:08
38A,1,64,100,44097.959,7923.123,3587.062,2201.529,2293.905,1375.937,White LED,100 mA,b'OK Read',09:44:09
38A,1,64,150,9445.807,1690.407,866.735,626.988,716.791,512.544,White LED,12.5 mA,b'OK Read',09:44:10
38A,1,64,150,18181.745,3238.482,1513.552,997.838,1111.722,726.104,White LED,25 mA,b'OK Read',09:44:11
38A,1,64,150,33913.604,6095.656,2749.896,1712.824,1835.472,1120.682,White LED,50 mA,b'OK Read',09:44:12
38A,1,64,150,44224.639,7952.995,3599.998,2207.814,2305.214,1378.988,White LED,100 mA,b'OK Read',09:44:13
38A,1,64,200,9439.832,1690.846,866.273,624.631,716.356,512.544,White LED,12.5 mA,b'OK Read',09:44:14
38A,1,64,200,18171.586,3240.678,1514.938,999.409,1111.722,730.681,White LED,25 mA,b'OK Read',09:44:16
38A,1,64,200,33813.814,6085.991,2741.58,1708.895,1837.212,1121.191,White LED,50 mA,b'OK Read',09:44:17
38A,1,64,200,44212.685,7965.295,3598.15,2203.886,2310.868,1386.616,White LED,100 mA,b'OK Read',09:44:18
38A,1,64,250,9439.114,1687.947,871.54,631.702,723.402,521.087,White LED,12.5 mA,b'OK Read',09:44:19
38A,1,64,250,18156.887,3237.779,1516.878,1002.238,1121.117,738.308,White LED,25 mA,b'OK Read',09:44:20
38A,1,64,250,33730.996,6065.432,2728.828,1702.767,1842.431,1128.818,White LED,50 mA,b'OK Read',09:44:22
38A,1,64,250,44211.254,7941.045,3585.953,2199.643,2321.568,1396.073,White LED,100 mA,b'OK Read',09:44:24
38A,2,64,50,9507.95,1681.621,881.519,655.273,767.245,561.358,White LED,12.5 mA,b'OK Read',09:44:28
38A,2,64,50,18277.35,3226.182,1530.184,1027.695,1158.696,768.816,White LED,25 mA,b'OK Read',09:44:29
38A,2,64,50,34166.955,6104.441,2744.352,1725.395,1884.186,1165.428,White LED,50 mA,b'OK Read',09:44:30
38A,2,64,50,44176.836,7870.407,3526.076,2182.672,2338.27,1415.599,White LED,100 mA,b'OK Read',09:44:31
38A,2,64,100,9472.099,1697.435,892.607,662.344,767.245,558.307,White LED,12.5 mA,b'OK Read',09:44:33
38A,2,64,100,18187.72,3244.632,1532.956,1030.052,1163.915,774.918,White LED,25 mA,b'OK Read',09:44:34
38A,2,64,100,33991.282,6070.177,2733.263,1720.681,1886.796,1165.428,White LED,50 mA,b'OK Read',09:44:35
38A,2,64,100,44241.367,7880.95,3545.481,2189.743,2346.099,1424.751,White LED,100 mA,b'OK Read',09:44:36
38A,2,64,150,9455.368,1686.892,894.455,663.13,768.984,563.392,White LED,12.5 mA,b'OK Read',09:44:37
38A,2,64,150,18181.745,3229.696,1533.88,1032.409,1165.655,778.986,White LED,25 mA,b'OK Read',09:44:38
38A,2,64,150,33887.311,6042.94,2729.568,1719.11,1887.666,1167.462,White LED,50 mA,b'OK Read',09:44:39
38A,2,64,150,44258.099,7895.007,3561.189,2203.1,2357.407,1431.87,White LED,100 mA,b'OK Read',09:44:40
38A,2,64,200,9447.002,1684.257,899.538,669.416,777.683,570.511,White LED,12.5 mA,b'OK Read',09:44:41
38A,2,64,200,18178.756,3227.499,1539.886,1037.123,1173.049,785.596,White LED,25 mA,b'OK Read',09:44:42
38A,2,64,200,33810.23,6034.593,2727.719,1720.681,1893.32,1174.581,White LED,50 mA,b'OK Read',09:44:44
38A,2,64,200,44273.633,7887.54,3567.657,2206.243,2368.281,1438.48,White LED,100 mA,b'OK Read',09:44:45
38A,2,64,250,9443.417,1679.512,902.587,675.073,784.99,577.222,White LED,12.5 mA,b'OK Read',09:44:46
38A,2,64,250,18189.871,3219.856,1542.381,1039.951,1181.661,790.783,White LED,25 mA,b'OK Read',09:44:47
38A,2,64,250,33771.148,6029.586,2717.74,1705.595,1890.449,1158.106,White LED,50 mA,b'OK Read',09:44:49
38A,2,64,250,44314.508,7899.928,3559.341,2193.043,2349.752,1427.802,White LED,100 mA,b'OK Read',09:44:51
38A,3,64,50,9522.291,1681.621,881.519,655.273,772.464,561.358,White LED,12.5 mA,b'OK Read',09:44:54
38A,3,64,50,18284.52,3226.182,1530.184,1027.695,1163.915,781.02,White LED,25 mA,b'OK Read',09:44:56
38A,3,64,50,34188.467,6067.541,2733.263,1720.681,1889.405,1171.53,White LED,50 mA,b'OK Read',09:44:57
38A,3,64,50,44284.39,7849.321,3514.988,2173.244,2348.708,1427.802,White LED,100 mA,b'OK Read',09:44:58
38A,3,64,100,9490.024,1692.164,898.152,664.702,777.683,567.46,White LED,12.5 mA,b'OK Read',09:44:59
38A,3,64,100,18248.668,3231.453,1538.5,1032.409,1169.135,784.071,White LED,25 mA,b'OK Read',09:45:00
38A,3,64,100,34048.645,6043.819,2724.947,1713.61,1894.625,1174.581,White LED,50 mA,b'OK Read',09:45:01
38A,3,64,100,44381.192,7854.592,3526.076,2175.601,2356.537,1433.904,White LED,100 mA,b'OK Read',09:45:02
38A,3,64,150,9484.049,1681.621,898.152,667.844,779.423,571.528,White LED,12.5 mA,b'OK Read',09:45:03
38A,3,64,150,18231.937,3226.182,1539.424,1033.98,1176.094,789.155,White LED,25 mA,b'OK Read',09:45:04
38A,3,64,150,33959.014,6034.154,2722.175,1714.395,1898.104,1177.631,White LED,50 mA,b'OK Read',09:45:05
38A,3,64,150,44411.068,7870.407,3544.557,2188.957,2369.585,1442.039,White LED,100 mA,b'OK Read',09:45:06
38A,3,64,200,9429.076,1680.303,898.152,671.773,788.122,579.663,White LED,12.5 mA,b'OK Read',09:45:07
38A,3,64,200,17768.251,3174.784,1514.938,1024.159,1163.915,779.495,White LED,25 mA,b'OK Read',09:45:08
38A,3,64,200,32987.424,5923.892,2672.278,1687.682,1860.699,1159.326,White LED,50 mA,b'OK Read',09:45:09
38A,3,64,200,43203.452,7739.936,3484.495,2160.28,2327.831,1420.175,White LED,100 mA,b'OK Read',09:45:11
38A,3,64,250,9218.267,1651.046,890.39,668.473,777.683,573.562,White LED,12.5 mA,b'OK Read',09:45:12
38A,3,64,250,17703.717,3170.303,1517.987,1028.637,1167.047,785.901,White LED,25 mA,b'OK Read',09:45:14
38A,3,64,250,32843.301,5911.503,2667.843,1691.453,1867.484,1166.648,White LED,50 mA,b'OK Read',09:45:16
38A,3,64,250,43128.523,7739.673,3492.811,2168.529,2336.182,1429.022,White LED,100 mA,b'OK Read',09:45:18
